image_id	run_id	timestamp	frame	lifter	gain	measurementlabel	cartag	id	exposure	zoom	plantbarcode	camera	treatment	imgtype	other	image	image_id	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	y-position	height_above_bound	height_below_bound	above_bound_area	percent_above_bound_area	below_bound_area	percent_below_bound_area	marker_area	marker_major_axis_length	marker_minor_axis_length	marker_eccentricity	estimated_object_count	tip_points	tip_points_r	centroid_r	baseline_r	tip_number	vert_ave_c	hori_ave_c	euc_ave_c	ang_ave_c	vert_ave_b	hori_ave_b	euc_ave_b	ang_ave_b	left_lmk	right_lmk	center_h_lmk	left_lmk_r	right_lmk_r	center_h_lmk_r	top_lmk	bottom_lmk	center_v_lmk	top_lmk_r	bottom_lmk_r	center_v_lmk_r
11	1	2013-12-17 11:40:07.44	0	none	none	B2_120513	1654	355453	none	z500	Dp1AC000053	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59525/VIS_SV_0_z500_355453.png	11	24251.0	125210.0	0.19368261321	7711.13386357	449	447	432	1250.89777741	1561.83839842	25	True	1308.93249512	1517.12133789	436.542053223	291.401000977	42.9580345154	0.744590944476	320	447	0	24251	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	2013-12-17 06:30:16.658	270	none	none	B2_120513	2022	353376	none	z500	Dp2AA000111	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59354/VIS_SV_270_z500_353376.png	12	18552.0	90878.5	0.204140693343	2242.55250812	409	415	397	1141.18148987	1537.59292799	12	True	1109.78271484	1523.41662598	390.627655029	276.149688721	135.959640503	0.707275124133	320	415	0	18552	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	2013-12-17 07:17:44.643	270	none	none	B2_120513	2057	353832	none	z500	Dp2AC000147	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59392/VIS_SV_270_z500_353832.png	13	39115.0	173283.0	0.22572900977	5738.66533864	460	564	555	1136.75618049	1472.75334271	24	True	1135.79675293	1466.98840332	496.476348877	323.214599609	145.800796509	0.759063052598	320	564	0	39115	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	2013-12-28 10:35:39.728	90	none	none	B2_120513	1327	385908	none	z500	Dp1AA01037	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72132/VIS_SV_90_z500_385908.png	14	294608.0	1420801.5	0.207353384692	27024.3485574	1208	1820	1765	1264.66756843	1154.8346922	17	False	1209.89001465	1022.55273438	1590.29846191	793.271362305	165.234161377	0.866706082508	320	1735	85	292484	99.2790419812	2124	0.720958018791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	2013-12-28 10:19:28.587	90	none	none	B2_120513	1049	385800	none	z500	Dp1AA01026	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72123/VIS_SV_90_z500_385800.png	15	254165.0	1205077.5	0.21091174634	29644.2541208	1029	1704	1668	1356.94965475	1235.50695021	17	True	1407.81152344	1104.52893066	1350.28063965	711.866271973	5.78723144531	0.849742003695	320	1609	95	252141	99.2036669093	2024	0.796333090709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1	2013-12-28 10:35:39.728	0	none	none	B2_120513	1327	385906	none	z500	Dp1AA01037	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72132/VIS_SV_0_z500_385906.png	16	308651.0	1525362.5	0.202345999721	33770.5098749	1253	1856	1798	1312.18005126	1140.73233847	16	False	1354.58776855	1026.76501465	1427.36425781	882.34979248	9.48042678833	0.786046621044	320	1735	121	308126	99.8299049736	525	0.170095026421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	2013-12-29 09:26:43.603	270	none	none	B2_120513	1570	387988	none	z500	Dp2AD000166	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73126/VIS_SV_270_z500_387988.png	17	173806.0	894558.5	0.194292491771	19713.7371802	915	1483	1481	1182.27313787	1104.29278621	21	True	1161.9597168	1046.65698242	1205.67724609	613.69921875	170.8802948	0.860761859231	320	1483	0	173806	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1	2013-12-29 16:20:25.275	0	none	none	B2_120513	1348	389530	none	z500	Dp2AA01117	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73666/VIS_SV_0_z500_389530.png	18	267144.0	1123602.5	0.237756679965	20557.2072382	1015	1472	1472	1184.70182748	1131.4549419	24	True	1192.36560059	1026.77209473	1218.33862305	784.085510254	167.395935059	0.765387725753	320	1472	0	267144	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	2013-12-28 09:47:21.337	0	none	none	B2_120513	1507	385606	none	z500	Dp2AE000191	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72107/VIS_SV_0_z500_385606.png	19	228493.0	1396185.5	0.163655187652	23066.0005485	1204	1564	1422	1353.17170767	1107.33621161	15	True	1381.89208984	990.222900391	1237.80700684	926.860839844	7.59814023972	0.662804273971	320	1497	67	228087	99.8223140315	406	0.177685968498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	2013-12-17 06:15:43.955	180	none	none	B2_120513	1362	353242	none	z500	Dp2AA01096	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59343/VIS_SV_180_z500_353242.png	20	33537.0	121389.5	0.276275954675	3225.35062122	359	471	448	1284.55583386	1499.97051018	14	True	1274.82421875	1509.49072266	433.358459473	263.225128174	7.58077859879	0.794390502173	320	471	0	33537	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1	2013-12-29 11:27:32.822	90	none	none	B2_120513	1583	388790	none	z500	Dp1AD000067	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73193/VIS_SV_90_z500_388790.png	21	182367.0	999172.0	0.182518125008	26397.8901577	914	1754	1734	1347.64837937	1187.13355486	23	True	1342.67553711	1074.86254883	1397.86254883	618.136169434	5.31016874313	0.896915996994	320	1717	37	181862	99.7230858653	505	0.276914134684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	2013-12-28 14:24:04.275	0	none	none	B2_120513	1289	386329	none	z500	Dp1AD000074	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72578/VIS_SV_0_z500_386329.png	22	208145.0	1129448.0	0.184289139473	31856.0257986	1197	1467	1398	1231.16101756	1251.71932547	16	True	1215.95959473	1159.39160156	1150.01477051	791.594360352	164.900634766	0.72539381907	320	1398	69	207481	99.6809916164	664	0.319008383579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	2013-12-28 06:46:28.415	0	none	none	B2_120513	2019	385105	none	z500	Dp1AA01041	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72066/VIS_SV_0_z500_385105.png	23	303266.0	1669779.5	0.181620387602	37808.2780498	1396	1812	1791	1261.38797293	1204.10855487	15	True	1285.24291992	1070.28405762	1398.58129883	1040.27026367	2.96539163589	0.668397873064	320	1733	79	301130	99.2956678296	2136	0.704332170438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	2013-12-17 10:12:44.127	90	none	none	B2_120513	2063	354602	none	z500	Dp2AB000138	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59454/VIS_SV_90_z500_354602.png	24	33760.0	145728.5	0.231663675945	4985.41724074	484	556	556	1272.29555687	1477.96987559	16	True	1267.3302002	1468.1114502	446.390808105	368.791717529	26.4753360748	0.563430695272	320	556	0	33760	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	2013-12-29 15:05:29.853	270	none	none	B2_120513	1046	389080	none	z500	Dp1AE000098	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73628/VIS_SV_270_z500_389080.png	25	252344.0	1127543.0	0.223799890558	31841.5746914	837	1813	1804	1226.48234157	1153.46495657	14	False	1239.26171875	975.397705078	1542.3026123	647.632019043	178.841537476	0.907564632027	320	1735	78	251439	99.6413625844	905	0.358637415591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	2013-12-28 09:41:54.447	270	none	none	B2_120513	1880	385576	none	z500	Dp2AA000112	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72104/VIS_SV_270_z500_385576.png	26	226003.0	885375.5	0.255262315255	17426.8876193	824	1568	1566	1223.9937523	1125.14082114	21	True	1211.37487793	989.787353516	1263.07250977	636.139892578	176.071472168	0.863910830237	320	1568	0	226003	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	2013-12-28 05:44:01.884	270	none	none	B2_120513	1256	384700	none	z500	Dp2AE000183	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72032/VIS_SV_270_z500_384700.png	27	142207.0	581463.5	0.244567371813	12444.9954263	943	1016	846	1133.86854374	1250.00066804	35	True	1091.24365234	1197.27941895	1040.52624512	556.146850586	141.474853516	0.845177242973	320	1016	0	142207	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
